10.7,1.1,0.35,196,86.8,683,0.66
10.7,2,0.48,212,318.3,2632,0.65
10.7,2.4,1.87,298,308.5,1771,0.64
10.7,2.3,0.52,217,441.2,3456,0.64
10.7,2.4,1.84,297,392.5,1424,0.64
10.7,1.9,0.42,205,533.7,2526,0.64
10.7,2.5,0.54,218,291.3,2604,0.63
10.7,2.1,0.45,208,458.2,3759,0.63
10.7,2.1,0.43,206,551.2,2154,0.62
10.7,1.8,0.35,196,409.4,2012,0.61
10.7,2.1,0.4,203,105.4,759,0.61
10.7,2.3,0.41,204,282,1883,0.59
10.7,2,0.36,198,349,2048,0.59
10.7,2,0.35,196,583.9,2412,0.59
10.7,1.9,0.34,194,207.2,1158,0.58
10.7,2.3,0.39,201,205.4,1511,0.58
10.7,1.1,0.25,179,129.9,525,0.57
10.7,2.1,0.34,194,247.4,866,0.57
10.7,2.3,0.35,196,574.7,2236,0.56
10.7,1.9,0.29,187,174.5,1240,0.55
10.7,2.3,0.29,187,426.9,1861,0.52
